ID,Price,Location,Room,Area,Floor,Store,Date_Time,Link
2563780,135 000,Sahil m.,2,60,3,4,bugün 10:54,https://bina.az/items/2563780
2544216,115 830,Memar Əcəmi m.,2,85.8,15,17,05 yanvar 2022,https://bina.az/items/2544216
2559838,105 000,Bayıl q.,2,47,15,17,12 yanvar 2022,https://bina.az/items/2559838
2480476,83 000,Yeni Yasamal q.,2,56,2,12,06 yanvar 2022,https://bina.az/items/2480476
220,99 456,Yasamal r.,2,77.7,,,13 yanvar 2022,https://bina.az/items/220
220,107 155,Yasamal r.,2,77.1,,,13 yanvar 2022,https://bina.az/items/220
220,101 493,Yasamal r.,2,75.2,,,13 yanvar 2022,https://bina.az/items/220
82,97 104,Gənclik m.,2,57.1,,,04 yanvar 2022,https://bina.az/items/82
2569634,125 000,Memar Əcəmi m.,2,82,3,16,bugün 21:17,https://bina.az/items/2569634
2569629,152 000,Qara Qarayev m.,2,90,14,17,bugün 21:14,https://bina.az/items/2569629
2569623,134 000,Nizami m.,2,70,4,5,bugün 21:05,https://bina.az/items/2569623
2569620,39 500,Nizami r.,2,74,1,5,bugün 21:05,https://bina.az/items/2569620
2569613,52 000,Kürdəxanı q.,2,60,6,10,bugün 20:51,https://bina.az/items/2569613
2569610,55 000,Biləcəri q.,2,64,8,17,bugün 20:46,https://bina.az/items/2569610
2569609,250 000,28 May m.,2,98,10,18,bugün 20:46,https://bina.az/items/2569609
2569606,72 000,Məmmədli q.,2,82,11,16,bugün 20:45,https://bina.az/items/2569606
2569603,90 000,Nəsimi m.,2,58,4,5,bugün 20:42,https://bina.az/items/2569603
2569602,152 000,20 Yanvar m.,2,95,16,19,bugün 20:41,https://bina.az/items/2569602
2569589,178 000,Nəriman Nərimanov m.,2,80,8,17,bugün 20:34,https://bina.az/items/2569589
2569588,127 000,28 May m.,2,60,12,13,bugün 20:34,https://bina.az/items/2569588
2539148,56 500,Biləcəri q.,2,43,3,4,bugün 20:33,https://bina.az/items/2539148
2569586,110 000,Badamdar q.,2,54,1,4,bugün 20:32,https://bina.az/items/2569586
2431497,105 000,Nəriman Nərimanov m.,2,36,6,9,bugün 20:29,https://bina.az/items/2431497
2569582,84 000,Nizami r.,2,99,16,18,bugün 20:28,https://bina.az/items/2569582
2569571,135 000,Yasamal r.,2,96,2,19,bugün 20:22,https://bina.az/items/2569571
2569563,96 000,Yasamal q.,2,65,5,5,bugün 21:05,https://bina.az/items/2569563
2569562,73 000,Yeni Yasamal q.,2,50,6,9,bugün 20:17,https://bina.az/items/2569562
2569560,66 000,Memar Əcəmi m.,2,58,1,5,bugün 20:15,https://bina.az/items/2569560
2569559,90 000,Yasamal r.,2,110,18,28,bugün 20:13,https://bina.az/items/2569559
2569555,162 000,Gənclik m.,2,86,12,16,bugün 20:10,https://bina.az/items/2569555
2066332,110 000,20 Yanvar m.,2,65,10,20,bugün 20:50,https://bina.az/items/2066332
2569548,67 000,Masazır q.,2,70,7,7,bugün 20:06,https://bina.az/items/2569548
2535715,115 000,Binəqədi r.,2,77,12,17,07 yanvar 2022,https://bina.az/items/2535715
2495677,156 000,Elmlər Akademiyası m.,2,64,9,17,bugün 13:28,https://bina.az/items/2495677
2562749,170 000,Memar Əcəmi m.,2,98,16,18,14 yanvar 2022,https://bina.az/items/2562749
2542972,128 000,Həzi Aslanov q.,2,89,12,19,06 yanvar 2022,https://bina.az/items/2542972
206,128 439,Bakı,2,67.6,,,bugün 10:57,https://bina.az/items/206
220,101 493,Yasamal r.,2,75.2,,,13 yanvar 2022,https://bina.az/items/220
85,251 078,Sea Breeze ,2,75.7,,,bugün 12:32,https://bina.az/items/85
82,97 104,Gənclik m.,2,57.1,,,04 yanvar 2022,https://bina.az/items/82
2569543,120 000,Bayıl q.,2,57,5,5,bugün 20:02,https://bina.az/items/2569543
2569533,263 000,Şah İsmayıl Xətai m.,2,65,3,4,bugün 19:56,https://bina.az/items/2569533
2569524,68 000,7-ci mikrorayon q.,2,40,2,9,bugün 19:52,https://bina.az/items/2569524
2540726,120 000,8 Noyabr m.,2,99,9,18,bugün 19:49,https://bina.az/items/2540726
2518619,116 000,Nərimanov r.,2,65,3,9,bugün 19:45,https://bina.az/items/2518619
2562294,66 500,Nizami r.,2,50,4,5,bugün 19:42,https://bina.az/items/2562294
2528331,94 000,20 Yanvar m.,2,60,12,17,bugün 19:41,https://bina.az/items/2528331
2569511,90 000,Nəsimi r.,2,40,1,5,bugün 19:40,https://bina.az/items/2569511
2569504,160 000,Azadlıq Prospekti m.,2,98,15,17,bugün 19:31,https://bina.az/items/2569504
2569501,98 000,Yasamal r.,2,59,12,17,bugün 19:29,https://bina.az/items/2569501
2546593,75 500,Əhmədli m.,2,60,3,9,bugün 19:24,https://bina.az/items/2546593
2569494,120 000,Nizami m.,2,50,4,5,bugün 19:23,https://bina.az/items/2569494
2569487,72 000,20 Yanvar m.,2,55,1,5,bugün 19:19,https://bina.az/items/2569487
2569486,72 000,20 Yanvar m.,2,58,1,5,bugün 19:19,https://bina.az/items/2569486
2559819,145 000,Nəriman Nərimanov m.,2,84,2,17,bugün 19:18,https://bina.az/items/2559819
2569483,110 000,Azadlıq Prospekti m.,2,61,14,15,bugün 19:18,https://bina.az/items/2569483
2518949,145 000,Nəriman Nərimanov m.,2,59,6,17,bugün 19:17,https://bina.az/items/2518949
2569482,86 000,Gənclik m.,2,55,5,5,bugün 19:17,https://bina.az/items/2569482
2569479,87 500,Sahil q.,2,93,12,13,bugün 19:15,https://bina.az/items/2569479
2569473,107 100,Əhmədli m.,2,102,12,16,bugün 19:14,https://bina.az/items/2569473
2569467,132 000,Nərimanov r.,2,72,11,16,bugün 19:12,https://bina.az/items/2569467
2569462,47 000,Masazır q.,2,80,5,6,bugün 19:11,https://bina.az/items/2569462
2569458,90 000,20 Yanvar m.,2,45,14,18,bugün 19:09,https://bina.az/items/2569458
2569454,129 000,Nəsimi r.,2,55,11,18,bugün 19:08,https://bina.az/items/2569454
2518207,123 000,Xətai r.,2,79,6,8,07 yanvar 2022,https://bina.az/items/2518207
2523454,90 000,Memar Əcəmi m.,2,50,2,5,dünən 13:04,https://bina.az/items/2523454
2536037,225 000,Nəsimi r.,2,101,4,16,dünən 16:55,https://bina.az/items/2536037
2566673,94 800,7-ci mikrorayon q.,2,79,4,15,dünən 13:08,https://bina.az/items/2566673
85,251 078,Sea Breeze ,2,75.7,,,bugün 12:32,https://bina.az/items/85
86,447 678,Sea Breeze ,2,119.7,,,bugün 12:33,https://bina.az/items/86
220,101 493,Yasamal r.,2,75.2,,,13 yanvar 2022,https://bina.az/items/220
221,273 700,Bakı,2,100,,,14 yanvar 2022,https://bina.az/items/221
2569451,275 000,İçəri Şəhər m.,2,74,8,16,bugün 19:07,https://bina.az/items/2569451
2569448,137 000,Nəsimi r.,2,74,6,16,bugün 19:30,https://bina.az/items/2569448
2545247,170 000,Şah İsmayıl Xətai m.,2,60,10,16,bugün 18:59,https://bina.az/items/2545247
2569443,87 000,Xətai r.,2,85,14,20,bugün 18:57,https://bina.az/items/2569443
2569442,97 000,8 Noyabr m.,2,55,2,17,bugün 18:57,https://bina.az/items/2569442
2569434,218 000,Nəsimi r.,2,90,14,18,bugün 18:55,https://bina.az/items/2569434
2569431,45 000,Mərdəkan q.,2,40,2,2,bugün 18:54,https://bina.az/items/2569431
2569425,63 000,Xalqlar Dostluğu m.,2,65,4,9,bugün 18:52,https://bina.az/items/2569425
2569426,69 000,Neftçilər m.,2,45,4,5,bugün 18:52,https://bina.az/items/2569426
2536900,130 000,20 Yanvar m.,2,110,3,17,bugün 18:51,https://bina.az/items/2536900
2569413,105 000,8-ci mikrorayon q.,2,56,13,15,bugün 18:49,https://bina.az/items/2569413
2569411,77 000,Xətai r.,2,60,9,9,bugün 18:48,https://bina.az/items/2569411
